SUBBASIN_ID	HRU_ID	HRU_AR
1	2	6.572
1	3	7.445
1	4	14.932
1	5	5.698
1	6	9.067
1	7	11.729
1	8	14.973
1	9	37.350
1	10	11.022
1	11	6.613
1	12	6.239
1	13	18.259
1	14	17.090
1	15	7.907
1	16	9.026
1	17	10.481
1	18	11.230
1	19	10.523
1	20	7.944
1	21	6.613
1	22	8.360
1	23	18.010
1	24	6.280
2	26	14.125
2	27	26.720
2	28	16.539
2	29	16.338
2	30	36.016
2	31	16.137
2	32	21.811
2	33	36.458
2	34	13.964
2	35	11.268
2	36	6.479
2	37	14.768
2	38	16.942
2	39	77.062
2	40	25.432
3	43	14.925
3	44	13.665
3	45	6.710
3	46	5.612
3	47	9.354
3	48	8.337
3	49	28.997
3	50	23.588
3	51	32.331
3	52	24.279
3	53	32.942
3	54	11.713
3	55	6.263
4	57	14.521
4	58	28.947
4	59	14.378
4	60	9.206
4	61	7.972
4	62	7.972
5	67	26.309
5	68	62.318
5	69	32.887
5	70	14.695
5	71	6.661
5	72	12.572
5	73	10.699
5	74	14.861
5	75	11.281
5	76	8.784
5	77	25.685
5	78	6.536
5	79	43.252
5	80	27.350
5	81	142.495
6	84	6.044
6	85	22.908
6	86	47.082
6	87	21.193
6	88	57.536
6	89	53.575
6	90	152.967
6	91	11.720
6	92	17.477
6	93	13.761
6	94	9.259
6	95	22.714
7	97	20.459
7	98	10.969
7	99	7.313
7	100	36.769
7	101	36.276
7	102	88.779
7	103	10.229
7	104	11.010
7	105	5.793
7	106	5.300
7	107	13.598
8	108	16.052
8	109	11.924
8	110	7.292
9	111	11.215
10	112	14.469
10	113	35.633
10	114	15.467
10	115	16.174
10	116	9.480
11	127	9.309
11	128	7.480
11	129	7.937
11	130	5.735
11	131	36.653
11	132	29.214
11	133	39.479
11	134	26.721
11	135	15.251
11	136	20.612
11	137	13.257
12	152	7.331
12	153	11.621
12	154	6.289
12	155	44.150
12	156	63.351
12	157	55.728
12	158	13.578
12	159	6.789
12	160	8.039
12	161	9.121
12	162	15.911
13	169	5.447
13	170	23.660
13	171	24.341
13	172	61.363
13	173	12.171
13	174	23.362
13	175	12.128
13	176	17.788
14	181	17.636
14	182	6.918
14	183	144.774
14	184	68.969
14	185	66.380
14	186	47.247
14	187	18.567
14	188	18.971
14	189	13.349
15	193	10.294
15	194	11.550
15	195	28.936
15	196	55.846
15	197	137.346
15	198	65.532
15	199	50.051
15	200	23.060
15	201	22.614
16	204	38.337
16	205	20.286
16	206	19.748
16	207	29.353
16	208	20.990
16	209	18.051
16	210	7.121
16	211	13.662
16	212	8.239
17	213	3.566
18	215	30.485
18	216	23.774
18	217	42.965
18	218	10.598
18	219	12.112
18	220	22.015
18	221	16.163
18	222	12.480
18	223	13.585
19	226	7.106
19	227	5.309
19	228	30.182
19	229	28.875
19	230	73.189
19	231	9.067
19	232	10.660
19	233	21.687
19	234	9.230
19	235	10.088
20	236	20.910
20	237	21.287
20	238	32.056
20	239	6.704
20	240	12.529
20	241	16.468
20	242	14.750
20	243	9.093
20	244	6.285
20	245	7.333
21	256	8.314
21	257	9.243
21	258	17.516
21	259	9.274
21	260	12.198
21	261	18.404
21	262	12.471
21	263	9.687
21	264	177.102
21	265	120.517
21	266	101.305
21	267	7.467
21	268	89.722
21	269	61.711
21	270	46.092
21	271	44.558
21	272	23.490
21	273	18.969
22	277	27.065
22	278	53.217
22	279	28.308
22	280	33.240
22	281	18.485
22	282	20.184
22	283	18.610
22	284	38.007
22	285	17.035
22	286	6.590
22	287	21.179
22	288	7.419
23	290	60.733
23	291	41.882
23	292	32.743
23	293	21.064
23	294	54.299
23	295	29.465
23	296	34.178
23	297	12.991
23	298	6.598
23	299	7.254
24	300	25.989
24	301	36.384
24	302	43.188
24	303	23.622
24	304	35.116
24	305	20.537
24	306	12.889
24	307	7.902
25	308	11.846
25	309	13.665
25	310	11.550
25	311	7.277
25	312	8.165
25	313	9.392
25	314	13.967
25	315	9.852
26	316	8.951
26	317	12.113
26	318	9.015
26	319	12.521
27	322	5.513
27	323	8.568
27	324	12.178
27	325	56.927
27	326	85.228
27	327	69.914
27	328	43.982
27	329	38.755
27	330	29.648
27	331	36.549
27	332	82.287
27	333	31.853
28	335	5.514
28	336	8.072
28	337	8.392
28	338	38.522
28	339	28.731
28	340	38.841
28	341	5.435
28	342	8.751
28	343	27.612
28	344	16.543
28	345	16.743
28	346	44.076
28	347	26.334
28	348	21.139
29	350	18.924
29	351	13.358
29	352	12.031
29	353	8.563
29	354	13.487
29	355	7.407
29	356	16.998
29	357	16.741
29	358	10.961
29	359	19.010
29	360	7.665
29	361	13.100
30	363	33.620
30	364	39.759
30	365	56.239
30	366	25.586
30	367	18.458
30	368	23.155
30	369	11.289
30	370	11.289
30	371	22.084
31	373	18.539
31	374	7.497
31	375	35.275
31	376	49.073
31	377	43.078
31	378	63.241
31	379	89.482
31	380	55.192
31	381	20.779
32	382	10.719
32	383	16.664
33	384	11.137
33	385	7.527
34	387	43.561
34	388	28.121
34	389	29.644
34	390	26.556
34	391	21.739
34	392	26.721
34	393	14.410
34	394	10.458
34	395	28.286
35	398	7.092
35	399	17.168
35	400	31.687
35	401	28.821
35	402	41.052
35	403	46.501
35	404	76.009
35	405	55.745
35	406	20.778
35	407	9.093
36	408	39.979
36	409	32.488
36	410	40.358
36	411	20.621
36	412	19.653
36	413	24.324
36	414	39.474
36	415	22.683
36	416	15.108
37	418	51.229
37	419	80.826
37	420	42.495
37	421	48.560
37	422	34.287
37	423	38.654
37	424	30.042
37	425	30.042
37	426	33.600
38	431	48.541
38	432	74.272
38	433	55.264
38	434	8.684
38	435	44.859
38	436	68.229
38	437	107.766
38	438	36.175
38	439	46.780
38	440	46.260
38	441	7.123
38	442	31.293
38	443	39.137
38	444	28.372
38	445	12.926
38	446	11.285
38	447	25.611
38	448	43.699
38	449	56.984
38	450	41.338
