SUBBASIN_ID	HRU_ID	HRU_AR
1	3	120.273
1	4	9.466
1	5	55.042
1	6	16.289
1	7	34.941
1	8	8.333
1	9	6.180
1	10	29.565
2	16	13.414
2	17	7.804
2	18	20.408
2	19	12.107
2	20	56.486
2	21	43.245
2	22	36.199
2	23	266.556
2	24	11.135
2	25	48.995
2	26	29.640
2	27	97.423
2	28	41.423
2	29	29.883
2	30	16.237
2	31	16.035
2	32	12.512
2	33	25.996
3	37	13.421
3	38	9.717
3	39	16.050
3	40	58.065
3	41	30.108
3	42	18.479
3	43	42.932
3	44	72.163
3	45	153.527
3	46	18.917
3	47	48.826
3	48	90.921
3	49	74.473
3	50	54.202
3	51	55.238
3	52	11.071
3	53	14.576
3	54	39.865
3	55	28.356
3	56	8.045
3	57	7.408
3	58	8.005
3	59	13.222
3	60	27.400
3	61	10.832
3	62	5.337
4	63	10.717
4	64	10.884
4	65	18.394
4	66	12.783
4	67	82.353
4	68	14.049
4	69	72.860
4	70	14.766
4	71	7.383
4	72	16.077
4	73	6.789
5	77	18.064
5	78	9.495
5	79	5.994
5	80	262.831
5	81	24.139
5	82	25.708
5	83	173.880
5	84	9.977
5	85	30.696
5	86	31.260
5	87	17.139
5	88	5.954
5	89	5.391
6	90	10.379
6	91	16.146
6	92	14.992
6	93	8.230
7	94	92.248
7	95	15.677
7	96	13.118
7	97	86.988
7	98	6.178
8	100	6.311
8	101	91.045
8	102	15.281
8	103	14.836
8	104	73.692
9	118	10.422
9	119	12.214
9	120	20.968
9	121	11.255
9	122	171.164
9	123	10.297
9	124	34.099
9	125	12.121
9	126	7.096
9	127	59.778
9	128	17.800
9	129	152.155
9	130	5.503
9	131	7.504
10	152	20.786
10	153	17.598
10	154	7.288
10	155	10.145
10	156	8.861
10	157	12.049
10	158	34.616
10	159	36.893
10	160	24.430
10	161	20.952
10	162	5.756
10	163	77.637
10	164	44.139
10	165	50.309
10	166	5.507
10	167	17.156
10	168	10.131
10	169	8.617
10	170	8.153
10	171	23.726
10	172	13.913
10	173	5.590
10	174	14.906
10	175	23.063
12	196	22.403
12	197	19.437
12	198	11.042
12	199	6.525
12	200	5.977
12	201	10.768
12	202	6.023
12	203	11.329
12	204	8.929
13	205	8.574
13	206	16.744
13	207	19.932
13	208	7.452
13	209	42.242
13	210	9.113
13	211	11.133
14	214	8.356
14	215	27.706
14	216	5.476
14	217	137.838
14	218	23.649
14	219	8.681
14	220	82.022
15	224	13.747
15	225	77.129
15	226	5.639
15	227	13.747
15	228	62.024
15	229	7.326
15	230	16.710
16	231	39.218
17	234	24.923
17	235	9.513
17	236	14.079
17	237	36.339
17	238	6.992
18	243	9.496
18	244	101.086
18	245	5.781
18	246	86.260
18	247	10.612
19	254	6.142
19	255	6.900
19	256	69.839
19	257	22.045
19	258	25.958
19	259	8.793
19	260	85.868
19	261	10.139
19	262	5.511
19	263	12.573
19	264	22.977
19	265	12.706
20	269	9.389
20	270	31.717
20	271	23.200
20	272	12.489
20	273	48.592
20	274	7.940
20	275	5.996
20	276	12.572
21	286	13.433
21	287	10.152
21	288	18.632
31	307	10.196
31	308	18.320
31	309	5.897
31	310	27.021
31	311	22.305
31	312	16.612
32	313	12.193
32	314	8.157
32	338	30.416
32	339	13.488
32	340	42.355
33	341	15.804
33	342	7.196
34	343	8.254
34	344	11.124
34	351	9.915
34	352	6.583
34	353	10.606
34	354	17.879
34	355	51.403
34	356	207.685
35	357	14.425
35	358	178.997
35	359	55.426
35	360	22.715
22	361	5.770
22	362	16.904
22	363	26.088
22	364	12.516
22	365	5.892
22	368	12.325
22	369	32.314
22	370	23.126
24	371	7.440
24	372	48.404
24	379	10.709
24	380	6.530
24	381	42.293
24	382	6.619
24	383	17.285
25	384	53.083
25	385	7.969
25	387	94.729
25	388	17.830
25	389	17.454
25	390	69.241
25	391	6.934
25	405	7.553
25	406	258.292
25	407	22.658
25	408	12.101
25	409	25.036
25	410	186.771
25	411	6.259
25	412	18.569
26	413	9.848
26	414	9.681
26	415	9.848
26	416	5.925
26	418	21.806
27	419	253.009
27	420	12.974
27	421	132.538
27	425	12.053
27	426	8.307
27	427	10.995
27	428	6.841
28	429	18.487
28	430	5.660
28	431	80.669
28	432	37.789
28	433	6.638
29	434	120.535
29	435	7.167
29	438	125.227
29	439	8.844
29	440	8.187
29	441	68.308
29	442	14.920
29	443	9.341
29	444	8.659
29	448	8.799
29	449	31.734
29	450	255.050
30	451	5.622
30	452	26.076
30	453	175.243
30	454	10.836
31	455	44.321
31	459	6.495
31	460	13.933
31	461	352.514
31	462	32.074
35	463	140.345
35	464	11.004
35	465	101.675
35	466	53.123
35	467	6.856
